ID           Arch  What
C07UD9R0TP1  -     Group: @hrusi @lizzie.gordon @molly.macintyre
C07URLB9XUH  -     Group: @caroline.mwaura @jessica.coen @hrusi @lizzie.gordon
C07UTKA2UUT  -     Group: @hrusi @jessica.coen @rebecca.hutson @jemima.walker @valentina.park
C07UWCUTSFJ  -     Group: @brigid.chillemi @valentina.park @dion.bailey @hrusi
C07VCBQ8J2F  -     Group: @hrusi @danielle.wolf @faraz.toor @grace
C080FA4V5U5  -     Group: @valentina.park @wayne.farry @hrusi @jackson.weimer @dion.bailey @vishal.sharma @eros.espinola @sahil.chandnani
C080LRBFS07  -     #tnm-editorial
C0814SZG6TB  -     Group: @caroline.mwaura @eros.espinola @hrusi @kimberly.avalos
C081ADMAX5X  -     Group: @kimberly.avalos @hrusi @dion.bailey
C081B4F0HL6  -     🔒 ext-the-news-movement-loop-group
C081E3VV42X  -     Group: @dion.bailey @vishal.sharma @eros.espinola @hrusi
C082T0WPHG9  -     Group: @vishal.sharma @hrusi @caroline.mwaura @takuma.kakehi
C0831S8K93R  -     Group: @hrusi @vishal.sharma @jackson.weimer @dion.bailey @takuma.kakehi
C0833Q3FNMD  -     Group: @dion.bailey @hrusi @valentina.park @caroline.mwaura @eros.espinola @jackson.weimer
C0834ELKXNV  -     #gpt-tnm
C083GCF3R34  -     Group: @hrusi @vishal.sharma @jackson.weimer @dion.bailey
C083X170GBT  -     Group: @dion.bailey @hrusi @valentina.park @caroline.mwaura @eros.espinola @jackson.weimer @vishal.sharma
C083Y4RKVB6  -     Group: @cole.petersen @dion.bailey @lotte.jones @will.hamnett @hrusi
C08474AR9RN  -     Group: @dion.bailey @hrusi @valentina.park @caroline.mwaura @eros.espinola
C084W35EF0E  -     Group: @hrusi @jemima.walker @rebecca.hutson
C085ZEXHTA8  -     Group: @dion.bailey @hrusi @vishal.sharma
C0862A688PQ  -     #amazon-christmas-comms
C0862ALL678  -     #amazon-christmas-team
C087CR376MD  -     Group: @hrusi @guillermo.sanchez @vishal.sharma
C087TB9F4EN  -     Group: @hrusi @guillermo.sanchez @sahil.chandnani
C087ZBFKS3D  -     Group: @hrusi @rebecca.hutson @jemima.walker @jessica.coen
C0884RCVCEP  -     Group: @laura.kilian @jemima.walker @jessica.coen @lucy.wyatt @kimberly.avalos @rebecca.hutson @hrusi @matt.dhenin
C088NGSNUGY  -     Group: @hrusi @jemima.walker @rebecca.hutson @jessica.coen @lucy.wyatt
C088PJ9F7GQ  -     Group: @hrusi @jemima.walker @kimberly.avalos
C088YD551JR  -     🔒 sayso-working-group
C0896304YNP  -     Group: @dion.bailey @hrusi @takuma.kakehi @vishal.sharma @eros.espinola
C08ACFFUPQD  -     Group: @valentina.park @sahil.chandnani @jackson.weimer @dion.bailey @hrusi @eros.espinola @vishal.sharma
C08ALN7T37X  -     Group: @hrusi @cole.petersen @lizzie.gordon
C08B7JSKY59  -     Group: @brigid.chillemi @jackson.weimer @hrusi @dion.bailey
C08BLCJ5ML1  -     Group: @dion.bailey @valentina.park @lucy.wyatt @brigid.chillemi @jackson.weimer @hrusi
C08BS6U6Z2N  -     Group: @dallin.mello @hrusi @kimberly.avalos
C08CE203A0N  -     Group: @valentina.park @eros.espinola @hrusi @caroline.mwaura
C08CLG1HQTD  -     Group: @valentina.park @eros.espinola @hrusi
C08CTMNMW03  -     Group: @hrusi @kimberly.avalos @matt.dhenin
C08CWCCSKTJ  -     #artlist-requests
C08CXJPQ6RX  -     🔒 us-policies-benefits
C08D10AP9S6  -     Group: @dion.bailey @lizzie.gordon @hrusi
C08DDSU0UBB  -     Group: @valentina.park @sahil.chandnani @wayne.farry @hrusi
C08DSQMJDND  arch  #ext-1plus1-support (archived)
C08DVRLBEQ3  -     Group: @hrusi @kiki.sideris @dion.bailey @brigid.chillemi
C08E2SW4SGK  -     #nyc-brain-trust
C08E6M1B8A1  -     Group: @valentina.park @dion.bailey @hrusi @eros.espinola
C08EMT782D7  -     Group: @valentina.park @dion.bailey @hrusi @eros.espinola @vishal.sharma
C08EXK22SER  -     Group: @hrusi @jackson.weimer @vishal.sharma @valentina.park @dion.bailey
C08F06K0ED9  -     Group: @hrusi @jackson.weimer @vishal.sharma @valentina.park
C08F0SA72BC  -     Group: @hrusi @jackson.weimer @vishal.sharma @valentina.park @dion.bailey @faraz.toor
C08F2E7E7M2  -     Group: @hrusi @sahil.chandnani @wayne.farry
C08F522EGNS  -     🔒 ext-tnm-aws-collab
C08FTEESCQ5  -     Group: @hrusi @beth.giles @matt.dhenin
